"ID","CI","ORIGEN","SEXO","FECHA.final","FECHA.inicial","ANOCaptura","Dias","LT","SVL","Periodo","Time"
1,"si","Wy","-","1/11/2011","3/3/2011",2011,243,23,10.51,1,0.692
2,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24.5,12.04,1,0.673
3,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24,11.17,1,0.672
4,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24.5,11.18,1,0.67
5,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24.5,10.81,1,0.677
6,"si","Wy","-","1/11/2011","3/3/2011",2011,243,23,11.41,1,0.671
7,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24,11.39,1,0.647
8,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24,11.28,1,0.654
9,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24,11.46,1,0.626
10,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24.5,11.65,1,0.665
11,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24.5,11.23,1,0.683
12,"si","Wy","-","1/11/2011","3/3/2011",2011,243,25,11.53,1,0.648
13,"si","Wy","-","1/11/2011","3/3/2011",2011,243,24,11.72,1,0.653
14,"si","Wy","-","1/11/2011","3/3/2011",2011,243,25.5,12,1,0.688
15,"si","Wy","-","7/4/2011","3/3/2011",2011,35,27,12.44,1,0.096
16,"si","Wy","-","7/4/2011","3/3/2011",2011,35,26,12.24,1,0.093
17,"si","Wy","-","7/4/2011","3/3/2011",2011,35,27,12.95,1,0.098
18,"si","Wy","-","7/4/2011","3/3/2011",2011,35,27,12.63,1,0.096
19,"si","Wy","-","7/4/2011","3/3/2011",2011,35,28,13.2,1,0.097
20,"si","Wy","-","7/4/2011","3/3/2011",2011,35,27,12.89,1,0.096
21,"si","Wy","-","7/4/2011","3/3/2011",2011,35,28,13.09,1,0.096
22,"si","Wy","-","7/4/2011","3/3/2011",2011,35,28,13.78,1,0.094
23,"si","Wy","-","7/4/2011","3/3/2011",2011,35,27,13.39,1,0.096
24,"si","Wy","-","11/8/2011","3/3/2011",2011,161,27,12.88,1,0.453
25,"si","Wy","-","1/11/2011","3/3/2011",2011,243,27,12.6,1,0.662
26,"si","Wy","-","27/10/2016","3/3/2016",2016,238,27.5,12.9,1,0.671
27,"si","Wy","-","19/12/2016","3/3/2016",2016,291,28,12.92,1,0.79
28,"si","Wy","-","19/12/2016","3/3/2016",2016,291,27.5,13.05,1,0.783
29,"si","Wy","-","11/8/2010","3/3/2010",2011,161,28,13.36,1,0.45
30,"si","Wy","-","27/10/2016","3/3/2016",2016,238,27.5,13.44,1,0.638
31,"si","Wy","-","27/10/2016","3/3/2016",2016,238,28.5,13.57,1,0.663
32,"si","Wy","-","11/8/2011","3/3/2011",2011,161,28,14.34,1,0.435
33,"si","Wy","-","27/10/2016","3/3/2016",2016,238,28,13.28,1,0.657
34,"si","Wy","-","9/12/2010","3/3/2010",2010,281,28,13.07,1,0.764
35,"si","Wy","-","9/12/2010","3/3/2010",2010,281,28,13.35,1,0.764
36,"si","Wy","-","9/12/2010","3/3/2010",2010,281,28,13.3,1,0.776
37,"si","Wy","-","9/12/2010","3/3/2010",2010,281,28,13.61,1,0.796
38,"si","Wy","-","22/10/2010","3/3/2010",2010,233,29,13.8,1,0.624
39,"si","Wy","-","11/8/2011","3/3/2011",2011,161,29.5,14.34,1,0.44
40,"si","Wy","-","11/8/2011","3/3/2011",2011,161,29,13.58,1,0.437
41,"si","Wy","-","15/10/2016","3/3/2016",2016,226,30,14.04,1,0.627
42,"si","Wy","-","9/12/2010","3/3/2010",2010,281,29.5,13.51,1,0.745
43,"si","Wy","-","9/12/2010","3/3/2010",2010,281,29.5,14.24,1,0.76
44,"si","Wy","-","7/4/2011","3/3/2010",2011,400,28.5,13.33,1,1.067
45,"si","Wy","-","15/10/2015","3/3/2015",2015,226,30,14.37,1,0.614
46,"si","Wy","-","22/10/2010","3/3/2010",2010,233,29.5,14.19,1,0.655
47,"si","Wy","-","22/10/2010","3/3/2010",2010,233,29.8,13.59,1,0.63
48,"si","Wy","-","22/10/2010","3/3/2010",2010,233,29.5,14.58,1,0.626
49,"si","Wy","-","15/10/2016","3/3/2016",2016,226,30,14.82,1,0.621
50,"si","Wy","-","21/12/2016","3/3/2016",2016,293,31.5,14.29,1,0.799
51,"si","Wy","-","21/12/2016","3/3/2016",2016,293,30.5,14.48,1,0.814
52,"si","Wy","-","22/10/2010","3/3/2010",2010,233,29.5,14.45,1,0.645
53,"si","Wy","-","22/10/2010","3/3/2010",2010,233,30.5,14.7,1,0.637
54,"si","Wy","-","22/10/2010","3/3/2010",2010,233,31.3,15.38,1,0.644
55,"si","Wy","-","9/12/2010","3/3/2010",2010,281,29.4,14.04,1,0.76
56,"si","Wy","-","9/12/2010","3/3/2010",2010,281,29.4,14.82,1,0.798
57,"si","Wy","-","15/10/2015","3/3/2015",2015,226,30,14.73,1,0.631
58,"si","Wy","-","15/10/2016","3/3/2016",2016,226,31,13.93,1,0.63
59,"si","Wy","-","15/10/2015","3/3/2015",2015,226,31,14.39,1,0.613
60,"si","Wy","-","22/10/2010","3/3/2010",2010,233,31.5,14.94,1,0.637
61,"si","Wy","-","21/12/2016","3/3/2016",2016,293,31.5,15.18,1,0.804
62,"si","Wy","-","22/10/2010","3/3/2010",2010,233,30,15.45,1,0.645
63,"si","Wy","-","22/10/2010","3/3/2010",2010,233,31.2,15.39,1,0.635
64,"si","Wy","-","9/12/2010","3/3/2010",2010,281,30.5,15.09,1,0.776
65,"si","Wy","-","9/12/2010","3/3/2010",2010,281,30.5,15.38,1,0.772
66,"si","Wy","-","22/10/2010","3/3/2010",2010,233,31,15.38,1,0.64
67,"si","Wy","-","15/10/2016","3/3/2016",2016,226,32,16.41,1,0.603
68,"si","Wy","-","21/12/2016","3/3/2016",2016,293,33,14.5,1,0.784
69,"si","Wy","-","15/10/2015","3/3/2015",2015,226,32,15.95,1,0.621
70,"si","Wy","-","23/11/2016","3/3/2016",2016,265,34,16.55,1,0.751
71,"si","Wy","-","21/12/2016","3/3/2016",2016,293,33,15.75,1,0.794
72,"si","Wy","-","20/1/2014","3/3/2013",2014,323,32.5,16.12,1,0.877
73,"si","Wy","-","22/1/2017","3/3/2015",2017,691,39,18.26,2,1.89
74,"si","Wy","-","24/2/2017","3/3/2015",2017,724,40,18.9,2,1.995
75,"si","Wy","-","24/2/2017","3/3/2015",2017,724,43,19.94,2,1.988
76,"si","Wy","-","24/2/2017","3/3/2015",2017,724,41.5,19.91,2,1.984
77,"si","Wy","-","24/2/2017","3/3/2015",2017,724,46,21.16,2,2.053
78,"si","Wy","-","22/1/2017","3/3/2015",2017,691,34.5,16.31,2,1.891
79,"si","Wy","-","20/1/2017","3/3/2015",2017,689,35.5,17.26,2,1.792
80,"si","Wy","-","22/1/2017","3/3/2015",2017,691,37.5,17.9,2,1.908
81,"si","Wy","-","19/12/2016","3/3/2015",2016,657,39,19,2,1.824
82,"si","Wy","-","31/3/2016","3/3/2014",2016,759,41,19.24,2,2.072
83,"si","Wy","-","19/12/2016","3/3/2015",2016,657,44,20.87,2,1.786
84,"si","Wy","-","22/3/2016","3/3/2014",2016,750,46,22.25,2,2.034
85,"si","Wy","-","22/3/2016","3/3/2014",2016,750,46,21.48,2,2.091
86,"si","Wy","-","31/3/2016","3/3/2014",2016,759,47,23.11,2,2.057
87,"si","Wy","-","25/11/2016","3/3/2015",2016,633,47.5,23.18,2,1.781
88,"si","Wy","-","22/3/2016","3/3/2014",2016,750,50,24.8,2,2.123
89,"si","Wy","-","22/1/2016","3/3/2014",2016,690,34.5,16.23,2,1.881
90,"si","Wy","-","23/11/2016","3/3/2015",2016,631,36,16.51,2,1.746
91,"si","Wy","-","23/1/2016","3/3/2014",2016,691,42,20.23,2,1.86
92,"si","Wy","-","20/1/2014","3/3/2012",2014,688,35,16.5,2,1.879
93,"si","Wy","-","15/2/2011","3/3/2009",2011,714,37.5,18.48,2,2
94,"si","Wy","-","15/2/2011","3/3/2009",2011,714,38,18.57,2,1.867
95,"si","Wy","-","15/2/2011","3/3/2009",2011,714,39,19.59,2,2.021
96,"si","Wy","-","27/1/2012","3/3/2010",2012,695,40,18.8,2,1.948
97,"si","Wy","-","15/2/2011","3/3/2009",2011,714,36,17.74,2,1.921
98,"si","Wy","-","15/2/2010","3/3/2008",2010,714,38.5,17.62,2,1.993
99,"si","Wy","-","19/1/2016","3/3/2013",2016,1052,50,24.82,3,2.888
100,"si","Wy","-","19/1/2016","3/3/2013",2016,1052,48,24.24,3,2.713
101,"si","Wy","-","22/3/2016","3/3/2013",2016,1115,53,26.97,3,3.054
102,"si","Py","-","11/11/1993","17/3/1992",1993,604,55,26.15,NA,1.668
103,"si","Py","-","15/12/2016","15/3/2016",2016,275,53,27.4,NA,0.724
104,"si","Py","-","30/11/2004","11/3/2003",2004,630,70,32.83,NA,1.704
105,"si","Py","-","12/11/1996","17/3/1994",1996,971,63,30.09,NA,2.644
106,"si","Py","F","27/12/1995","17/3/1993",1995,1380,61,29.71,NA,3.836
107,"si","Py","-","12/11/1996","17/3/1994",1996,971,72,34.1,NA,2.609
108,"si","Py","-","12/11/1996","17/3/1994",1996,971,51,24.46,NA,2.706
109,"si","Py","-","12/11/1996","31/3/1993",1996,1332,75,34.54,NA,3.541
110,"si","Py","-","5/1/1996","18/3/1993",1996,1023,62.5,31.11,NA,2.751
111,"si","Py","-","15/12/2016","15/3/2016",2016,275,56,28.06,NA,0.738
112,"si","Py","-","15/12/2016","15/3/2016",2016,275,54.5,26.57,NA,0.75
113,"si","Py","-","19/12/1994","17/3/1993",1994,1007,98,46.21,NA,2.85
114,"si","Py","F","27/12/1995","17/3/1993",1995,1380,73,35.61,NA,3.836
115,"si","Py","-","19/12/1994","17/3/1993",1994,1007,58,26.59,NA,2.746
116,"si","Py","-","15/12/2016","15/3/2016",2016,275,50,23.98,NA,0.762
117,"si","Py","-","30/11/2004","13/3/2003",2004,628,79,37.5,NA,1.804
118,"si","Py","-","27/12/1995","17/3/1993",1995,1015,64,30.39,NA,2.782
119,"si","Py","-","19/12/1994","17/3/1992",1994,1007,99,47.8,NA,2.778
120,"si","Py","-","19/12/1994","17/3/1993",1994,1007,89,44.26,NA,2.768
121,"si","Py","-","30/11/2004","13/3/2003",2004,628,86,40.92,NA,1.753
122,"si","Py","-","12/11/1996","17/3/1994",1996,971,75,36.54,NA,2.705
123,"si","Py","F","15/12/2016","15/3/2016",2016,275,50,22.2,NA,0.737
124,"si","Py","F","15/12/2016","15/3/2016",2016,275,52,24.88,NA,0.75
126,"si","Py","-","12/11/1996","19/3/1993",1996,1334,85,39.07,NA,3.576
127,"si","Py","-","30/11/2004","13/3/2003",2004,628,61,30.24,NA,1.73
128,"si","Py","-","23/11/1993","17/3/1993",1993,616,61,28.83,NA,1.661
129,"si","Py","-","12/11/1996","30/3/1993",1996,1333,76,38.61,NA,3.506
130,"si","Py","-","30/11/2004","13/3/2003",2004,628,65,29.26,NA,1.741
131,"no","Wy","-","23/11/2016","",2016,NA,80,39.87,NA,4.939
132,"no","Wy","F","2/12/2011","6/3/2002",2002,3558,125,59.84,NA,9.464
132,"no","Py","F","2/12/2011","6/3/2002",2002,3558,125,59.07,NA,9.777
133,"no","Wy","F","17/1/2006","33/3/1997",2006,3222,153.5,72.21,NA,18.992
133,"no","Py","F","17/1/2006","33/3/1997",2006,3222,153.5,76.38,NA,8.939
134,"no","Wy","F","1/12/2011","17/3/2003",2011,3181,141,66.94,NA,8.728
134,"no","Py","F","1/12/2011","17/3/2003",2011,3181,141,69.64,NA,8.806
135,"no","Wy","F","5/11/2010","11/11/1999",2010,4012,160,77.85,NA,11.147
135,"no","Py","F","5/11/2010","11/11/1999",2010,4012,160,78.96,NA,11.335
136,"no","Wy","F","1/11/2011","3/3/2000",2011,4261,157,76.01,NA,11.934
136,"no","Py","F","1/11/2011","3/3/2000",2011,4261,157,80.25,NA,11.541
137,"no","Wy","F","20/11/2012","3/3/2004",2012,3189,158.5,82.61,NA,8.577
137,"no","Py","F","20/11/2012","3/3/2004",2012,3189,158.5,78.32,NA,8.737
138,"no","Wy","F","18/2/2006","17/3/1993",2006,5086,145,72.69,NA,13.904
138,"no","Py","F","18/2/2006","17/3/1993",2006,5086,145,72.73,NA,13.389
139,"no","Wy","F","9/1/2002","17/3/1993",2002,3585,151,69.81,NA,9.76
139,"no","Py","F","9/1/2002","17/3/1993",2002,3585,151,70.68,NA,9.75
139,"no","Wy","F","9/1/2002","17/3/1993",2002,3585,151,70.76,NA,9.769
140,"no","Wy","F","7/4/2011","1/3/2004",2011,2593,137.5,68.06,NA,7.178
140,"no","Py","F","7/4/2011","1/3/2004",2011,2593,137.5,66.15,NA,7.045
141,"no","Wy","F","21/12/2011","1/3/2004",2011,2851,141,66.54,NA,7.654
141,"no","Py","F","21/12/2011","1/3/2004",2011,2851,141,70.53,NA,7.837
142,"no","Wy","F","3/1/2009","13/3/1993",2009,5776,153,78.48,NA,15.914
142,"no","Py","F","3/1/2009","13/3/1993",2009,5776,153,76.2,NA,16.219
143,"no","Wy","F","21/4/2010","19/3/2001",2010,3320,140,66.95,NA,9.059
143,"no","Py","F","21/4/2010","19/3/2001",2010,3320,140,68.81,NA,8.811
144,"no","Wy","F","29/11/2010","39/3/1993",2010,6454,157,81.26,NA,17.761
144,"no","Py","F","29/11/2010","39/3/1993",2010,6454,157,79.62,NA,17.236
145,"no","Wy","F","12/1/2011","3/3/1994",2011,6159,158,74.14,NA,17.404
145,"no","Py","F","12/1/2011","3/3/1994",2011,6159,158,79.68,NA,16.771
146,"no","Wy","F","7/4/2011","1/3/2003",2011,3324,135,65.2,NA,8.835
146,"no","Py","F","7/4/2011","1/3/2003",2011,3324,135,61.24,NA,9.149
147,"no","Py","F","8/12/2010","31/3/2003",2010,3212,134,70.54,NA,8.9
148,"no","Wy","F","8/12/2010","31/3/2003",2010,3212,134,64.39,NA,8.743
148,"no","Py","F","8/12/2010","31/3/2003",2010,3212,138.5,68.45,NA,8.963
149,"no","Wy","F","8/12/2010","31/3/2003",2010,3212,138.5,66.86,NA,8.599
149,"no","Py","F","15/3/2016","10/3/2009",2016,2562,138,73.86,NA,6.915
150,"no","Wy","F","15/3/2016","10/3/2009",2016,2562,138,72.89,NA,6.871
150,"no","Py","F","7/2/2011","3/3/1994",2011,6161,155,80.25,NA,17.047
151,"no","Wy","F","7/2/2011","3/3/1994",2011,6161,155,75,NA,16.587
151,"no","Py","F","29/11/2010","8/13/1994",2010,5835,146,78.94,NA,15.735
152,"no","Wy","F","29/11/2010","8/13/1994",2010,5835,146,75.59,NA,16.144
152,"no","Py","F","6/2/2011","19/3/1994",2011,6168,163.54,77.62,NA,16.847
153,"no","Py","F","3/1/2009","9/3/1994",2009,5414,149,70.55,NA,15.019
153,"no","Wy","F","6/2/2011","19/3/1994",2011,6168,163.54,77.7,NA,16.582
154,"no","Wy","F","3/1/2009","9/3/1994",2009,5414,149,73.13,NA,14.824
154,"no","Py","F","4/1/2012","3/3/1994",2012,6492,144,74.75,NA,17.864
155,"no","Py","F","28/2/2004","9/3/1995",2004,3278,150,70.41,NA,9.005
155,"no","Wy","F","4/1/2012","3/3/1994",2012,6492,144,73.5,NA,18.087
156,"no","Py","F","8/1/2014","3/3/1996",2014,6496,145,73.26,NA,17.723
156,"no","Wy","F","28/2/2004","9/3/1995",2004,3278,150,70.48,NA,8.987
157,"no","Wy","F","8/1/2014","3/3/1996",2014,6496,145,66.49,NA,18.086
157,"no","Py","F","10/1/2014","3/3/1996",2014,6498,169,76.83,NA,18.658
158,"no","Py","F","26/12/2003","10/3/1993",2003,4308,163,76.42,NA,11.955
158,"no","Wy","F","10/1/2014","3/3/1996",2014,6498,169,79.12,NA,17.996
159,"no","Wy","F","26/12/2003","10/3/1993",2003,4308,163,76.8,NA,11.969
159,"no","Py","F","17/1/2002","17/3/1993",2002,3593,163,76.18,NA,9.62
160,"si","Py","F","30/3/2008","6/3/2003",2008,1851,88,43.34,NA,5.072
160,"no","Wy","F","17/1/2002","17/3/1993",2002,3593,163,80.01,NA,9.596
161,"no","Wy","F","17/1/2002","9/3/1993",2002,3601,148,73.81,NA,9.619
161,"no","Py","F","17/1/2002","9/3/1993",2002,3601,148,73.7,NA,9.779
162,"no","Wy","F","17/1/2002","9/3/1993",2002,3601,147,73.87,NA,9.9
162,"no","Py","F","17/1/2002","9/3/1993",2002,3601,147,70.08,NA,9.743
163,"no","Wy","F","18489","16445",2020,2043,96,48,2,5.6
164,"no","Wy","M","18484","16424",2020,2060,98,49.2,2,5.65
